2714.52102 17.737  0.025
2840.91018 17.789  0.023
2888.92133 17.803  0.027
2894.85165 17.775  0.018
2899.85322 17.776  0.017
2905.84221 17.796  0.022
2908.90525 17.787  0.025
2911.80152 17.780  0.017
2916.85176 17.805  0.016
2922.83557 17.785  0.022
2926.77463 17.776  0.017
2930.83672 17.827  0.018
2934.73852 17.794  0.018
2940.71861 17.766  0.017
2942.84006 17.802  0.017
2947.73256 17.773  0.023
2949.82274 17.804  0.018
2953.68946 17.828  0.022
2956.71527 17.796  0.017
2958.74155 17.791  0.022
2962.75343 17.798  0.017
2965.77282 17.800  0.016
2968.71638 17.795  0.018
2973.85644 17.811  0.020
2975.84561 17.787  0.018
2976.84087 17.792  0.018
2978.86049 17.757  0.027
2982.69256 17.786  0.018
2984.74014 17.803  0.018
2986.82271 17.804  0.021
2988.79315 17.787  0.017
2989.81048 17.790  0.018
2991.64362 17.782  0.018
2993.63105 17.826  0.017
2995.73185 17.803  0.015
2997.70963 17.818  0.018
2999.73225 17.821  0.017
3001.76851 17.815  0.017
3003.73915 17.825  0.016
3005.64443 17.770  0.022
3007.67749 17.812  0.020
3009.74381 17.797  0.020
3011.71950 17.798  0.023
3013.72395 17.816  0.020
3017.72544 17.787  0.018
3019.65340 17.792  0.020
3021.77219 17.787  0.016
3023.63397 17.821  0.016
3024.83507 17.852  0.020
3026.83178 17.823  0.015
3029.63611 17.809  0.016
3031.70609 17.785  0.016
3033.76960 17.816  0.015
3035.77665 17.821  0.016
3038.75414 17.822  0.021
3042.66870 17.774  0.017
3044.60264 17.811  0.021
3045.69160 17.799  0.018
3047.64530 17.819  0.020
3049.65103 17.826  0.014
3051.61921 17.826  0.018
3055.61273 17.847  0.017
3057.63816 17.864  0.016
3059.58205 17.823  0.015
3061.57507 17.837  0.023
3068.51642 17.801  0.022
3070.58507 17.774  0.024
3073.58586 17.784  0.022
3075.68581 17.818  0.024
3078.61780 17.862  0.018
3082.59532 17.828  0.017
3084.67238 17.830  0.018
3087.63508 17.833  0.021
3090.59846 17.817  0.021
3096.51619 17.833  0.027
3099.58649 17.852  0.024
3102.56524 17.877  0.022
3105.59803 17.811  0.023
3108.57595 17.885  0.021
3112.55325 17.851  0.022
3116.53462 17.839  0.021
3127.50202 17.813  0.017
3140.49129 17.813  0.024
3223.89087 17.860  0.023
3241.87707 17.877  0.021
3248.84050 17.926  0.025
3257.86832 17.858  0.018
3263.91431 17.932  0.027
3270.85731 17.826  0.018
3281.88508 17.906  0.015
3287.74615 17.874  0.016
3295.69838 17.907  0.016
3297.69691 17.839  0.015
3299.76141 17.858  0.013
3301.75888 17.930  0.021
3304.81916 17.920  0.020
3307.68964 17.884  0.025
3309.72502 17.912  0.018
3311.72289 17.930  0.017
3320.76566 17.922  0.016
3323.70049 17.904  0.018
3327.73724 17.859  0.016
3330.69610 17.914  0.022
3334.79528 17.853  0.022
3338.84177 17.867  0.017
3340.85688 17.847  0.023
3350.67532 17.873  0.015
3354.72295 17.882  0.018
3358.80332 17.865  0.014
3361.83549 17.836  0.015
3365.73788 17.865  0.017
3372.75422 17.828  0.015
3378.66691 17.839  0.017
3387.65350 17.782  0.021
3391.73465 17.817  0.018
3394.74618 17.845  0.017
3396.62618 17.808  0.017
3399.70344 17.815  0.018
3403.69073 17.836  0.018
3408.60013 17.852  0.016
3417.57276 17.745  0.017
3425.58101 17.869  0.024
3431.56321 17.778  0.015
3445.54986 17.777  0.016
3455.50659 17.792  0.022
3460.49818 17.785  0.016
3477.49288 17.735  0.020
3583.93502 17.690  0.021
3593.93327 17.679  0.022
3601.87021 17.730  0.018
3618.90424 17.720  0.015
3629.88551 17.688  0.016
3634.85205 17.730  0.016
3639.84540 17.713  0.013
3644.80017 17.708  0.014
3654.79060 17.715  0.015
3657.87049 17.746  0.015
3660.80493 17.748  0.021
3664.84004 17.744  0.014
3668.79795 17.702  0.017
3672.78617 17.754  0.016
3675.86583 17.740  0.014
3684.77397 17.740  0.014
3687.77961 17.756  0.015
3690.69948 17.725  0.020
3693.73343 17.770  0.016
3695.75496 17.772  0.015
3698.74775 17.753  0.018
3700.77654 17.780  0.015
3702.86420 17.743  0.018
3705.77098 17.759  0.014
3708.72957 17.723  0.018
3712.71641 17.695  0.015
3714.72680 17.769  0.015
3717.64285 17.751  0.016
3719.82007 17.706  0.022
3725.81394 17.718  0.018
3727.78641 17.722  0.017
3730.68175 17.725  0.013
3732.70650 17.757  0.014
3734.80454 17.729  0.015
3736.82082 17.747  0.016
3737.70918 17.763  0.014
3739.80828 17.717  0.014
3742.69418 17.719  0.020
3745.76986 17.730  0.016
